low: 551328
mid: 116888
high: 243807


no  id    low mid high max overall
225 251 12 3 7  12 low
226 252 11 3 8  11 low
227 253 10 1 3  10 low
228 254 15 5 1  15 low
229 255 20 8 5  20 low
230 256 16 1 6  16 low
231 257 6 1 3  6 low
232 258 11 2 3  11 low
233 259 10 7 8  10 low
234 260 15 2 5  15 low
235 261 3 5 1  5 mid
236 262 8 5 2  8 low
237 264 12 2 10  12 low
238 265 3 1 1  3 low
239 266 2 2 3  3 high
240 267 2 1 1  2 low
241 268 11 1 4  11 low
242 269 5 0 0  5 low
243 271 7 0 0  7 low
244 272 3 2 2  3 low
245 273 4 2 1  4 low
246 275 5 1 4  5 low
247 276 8 2 2  8 low
248 277 2 2 5  5 high
249 278 5 1 1  5 low
250 281 3 1 1  3 low
251 282 7 0 3  7 low
252 283 5 1 0  5 low
253 284 10 4 1  10 low
254 286 17 4 7  17 low
255 287 3 0 1  3 low
256 288 8 9 2  9 mid
257 289 4 2 2  4 low
258 290 9 2 1  9 low
259 291 9 3 4  9 low
260 292 5 1 2  5 low
261 293 15 3 5  15 low
262 294 7 2 1  7 low
263 295 6 3 5  6 low
264 296 5 4 3  5 low
265 297 16 5 8  16 low
266 298 1 1 0  1 mid
267 299 1 2 0  2 mid
268 300 10 5 0  10 low
269 301 12 1 6  12 low
270 303 16 6 6  16 low
271 304 12 1 8  12 low
272 305 4 5 0  5 mid
273 307 8 4 0  8 low
274 308 10 4 4  10 low
275 309 7 1 3  7 low
276 310 4 3 2  4 low
277 312 11 2 5  11 low
278 314 6 3 4  6 low
279 315 5 1 1  5 low
280 317 11 1 2  11 low
281 318 1 0 0  1 low
282 319 4 0 1  4 low
283 320 8 3 6  8 low
284 321 7 0 4  7 low
285 322 11 0 4  11 low
286 323 6 3 5  6 low
287 324 6 4 3  6 low
288 325 7 4 2  7 low
289 326 9 0 2  9 low
290 327 4 1 3  4 low
291 329 20 7 9  20 low
292 331 9 9 10  10 high
293 332 13 9 4  13 low
294 334 19 13 7  19 low
295 335 9 2 6  9 low
296 336 12 4 3  12 low
297 337 13 5 6  13 low
298 338 19 7 9  19 low
299 339 7 3 1  7 low
300 340 15 6 6  15 low
301 341 25 9 14  25 low
302 342 12 10 4  12 low
303 343 12 4 2  12 low
304 344 15 5 5  15 low
305 345 14 5 4  14 low
306 346 6 6 5  6 mid
307 347 10 4 4  10 low
308 348 8 3 3  8 low
309 350 7 1 1  7 low
310 352 10 0 4  10 low
311 353 9 2 6  9 low
312 354 10 4 6  10 low
313 355 1 3 3  3 high
314 357 3 0 0  3 low
315 358 2 1 0  2 low
316 359 6 1 2  6 low
317 361 9 0 3  9 low
318 363 13 6 4  13 low
319 365 12 2 4  12 low
320 366 8 1 4  8 low
321 367 7 2 2  7 low
322 368 4 4 1  4 mid
323 369 2 0 1  2 low
324 370 6 0 0  6 low
325 371 7 2 0  7 low
326 372 1 1 0  1 mid
327 374 4 2 1  4 low
328 376 8 2 3  8 low
329 377 9 6 2  9 low
330 378 4 3 4  4 high
331 379 3 0 1  3 low
332 380 3 1 0  3 low
333 381 4 1 0  4 low
334 383 6 1 0  6 low
335 384 3 0 0  3 low
336 385 0 0 1  1 high
337 386 4 2 0  4 low
338 387 5 0 1  5 low
339 388 1 1 0  1 mid
340 389 3 1 1  3 low
341 391 1 0 0  1 low
342 392 4 0 0  4 low
343 393 9 1 2  9 low
344 394 4 0 0  4 low
345 395 2 1 0  2 low
346 396 6 0 0  6 low
347 397 2 0 1  2 low
348 398 14 4 7  14 low
349 399 9 3 5  9 low
350 400 4 1 1  4 low
351 401 4 1 1  4 low
352 402 4 2 2  4 low
353 403 6 2 2  6 low
354 404 3 3 4  4 high
355 406 10 5 6  10 low
356 407 4 3 1  4 low
357 408 13 5 6  13 low
358 409 4 3 5  5 high
359 410 12 2 6  12 low
360 411 16 3 4  16 low
361 412 3 3 1  3 mid
362 413 12 5 8  12 low
363 414 8 4 10  10 high
364 415 16 7 5  16 low
365 416 6 1 1  6 low
366 417 7 2 7  7 high
367 418 5 4 0  5 low
368 420 12 6 6  12 low
369 422 3 0 1  3 low
370 423 3 0 1  3 low
371 424 7 5 4  7 low
372 426 1 1 1  1 high
373 427 4 3 5  5 high
374 428 3 1 2  3 low
